ID,AY_Entry_Term,Application Date,Application Status
0031K00002tbg8uQAA,2020030,7/27/2019,Admit
0031K00002tbg8vQAA,2021010,,App Started
0031K00002tbg8wQAA,2021010,,App Started
0031K00002tbg8xQAA,2021010,,App Started
0031K00002tbg8yQAA,2021010,,App Started
0031K00002tbg8zQAA,2021030,,App Started
0031K00002tbg90QAA,2021030,,App Started
0031K00002tbg91QAA,2021010,1/15/2020,Admit
0031K00002tbg92QAA,2021010,,App Started
0031K00002tbg93QAA,2021030,,App Started
0031K00002tbg94QAA,2021010,,App Started
0031K00002tbg95QAA,2021010,,App Started
0031K00002tbg96QAA,2021010,,App Started
0031K00002tbg97QAA,2021010,,App Started
0031K00002tbg98QAA,2022010,,App Started
0031K00002tbg99QAA,2021010,,App Started
0031K00002tbg9AQAQ,2021010,,App Started
0031K00002tbg9BQAQ,2021010,,App Started
0031K00002tbg9CQAQ,2021030,,App Started
0031K00002tbg9DQAQ,2021010,,App Started
0031K00002tbg9EQAQ,2021010,,App Started
0031K00002tbg9FQAQ,2020050,,App Started
0031K00002tbg9GQAQ,2021010,,App Started
0031K00002tbg9HQAQ,2021010,,App Started
0031K00002tbg9IQAQ,2021010,,App Started
0031K00002tbg9JQAQ,2020050,,App Started
0031K00002tbg9KQAQ,2021010,,App Started
0031K00002tbg9LQAQ,2021010,,App Started
0031K00002tbg9MQAQ,2021010,,App Started
0031K00002tbg9NQAQ,2021010,,App Started
0031K00002tbg9OQAQ,2021010,5/12/2020,App Started
0031K00002tbg9PQAQ,2021010,5/13/2020,App Started
0031K00002tbg9QQAQ,2021010,,App Started
0031K00002tbg9RQAQ,2021010,5/15/2020,App Started
0031K00002tbg9SQAQ,2021010,,App Started
0031K00002tbg9TQAQ,2021010,,App Started
0031K00002tbg9UQAQ,2021010,,App Started
0031K00002tbg9VQAQ,2021010,,App Started
0031K00002tbg9WQAQ,2021010,5/10/2020,App Started
0031K00002tbg9XQAQ,2021010,,App Started
0031K00002tbg9YQAQ,2021010,5/15/2020,App Started
0031K00002tbg9ZQAQ,2021010,,App Started
0031K00002tbg9aQAA,2021010,,App Started
0031K00002tbg9bQAA,2021010,5/13/2020,App Started
0031K00002tbg9cQAA,2021010,,App Started
0031K00002tbg9dQAA,2021030,5/14/2020,App Started
0031K00002tbg9eQAA,2021010,,App Started
0031K00002tbg9fQAA,2021010,5/13/2020,App Started
0031K00002tbg9gQAA,2021010,,App Started
0031K00002tbg9hQAA,2021010,,App Started
0031K00002tbg9iQAA,2021010,,App Started
0031K00002tbg9jQAA,2021010,,App Started
0031K00002tbg9kQAA,2021010,,App Started
0031K00002tbg9lQAA,2021010,,App Started
0031K00002tbg9mQAA,2021010,,App Started
0031K00002tbg9nQAA,2021010,,App Started
0031K00002tbg9oQAA,2021010,,App Started
0031K00002tbg9pQAA,2021010,,App Started
0031K00002tbg9qQAA,2021010,,App Started
0031K00002tbg9rQAA,2021010,,App Started
0031K00002tbg9sQAA,2021030,,App Started
0031K00002tbg9tQAA,2021010,,App Started
0031K00002tbg9uQAA,2021010,,App Started
0031K00002tbg9vQAA,2021010,5/14/2020,App Started
0031K00002tbg9wQAA,2021010,,App Started
0031K00002tbg9xQAA,2021010,,App Started
0031K00002tbg9yQAA,2021010,,App Started
0031K00002tbg9zQAA,2021010,5/13/2020,App Started
0031K00002tbgA0QAI,2021010,,App Started
0031K00002tbgA1QAI,2021010,,App Started
0031K00002tbgA2QAI,2021010,,App Started
0031K00002tbgA3QAI,2021010,,App Started
0031K00002tbgA4QAI,2021010,,App Started
0031K00002tbgA5QAI,2021010,,App Started
0031K00002tbgA6QAI,2020050,5/12/2020,Admit certificate
0031K00002tbgA7QAI,2020050,,App Started
0031K00002tbgA8QAI,2021010,,App Started
0031K00002tbgA9QAI,2022010,,App Started
0031K00002tbgAAQAY,2021010,,App Started
0031K00002tbgABQAY,2021010,,App Started
0031K00002tbgACQAY,2021010,,App Started
0031K00002tbgADQAY,2021010,,App Started
0031K00002tbgAEQAY,2021010,,App Started
0031K00002tbgAFQAY,2020050,,App Started
0031K00002tbgAGQAY,2020050,,App Started
0031K00002tbgAHQAY,2021010,,App Started
0031K00002tbgAIQAY,2021010,,App Started
0031K00002tbgAJQAY,2021010,,App Started
0031K00002tbgAKQAY,2021010,,App Started
0031K00002tbgALQAY,2021010,,App Started
0031K00002tbgAMQAY,2021010,,App Started
